id;Плейлист;Название видео;Лайки;Дизлайки;Просмотры;Комментарии;Продолжительность(с);Дата публикации
1;знакомое кино;grand theft auto - плагиат или все же пасхалки?;46822;895;283336;1 819;1633;06.06.2020
2;знакомое кино;плагиат или пасхалки - fallout | знакомое кино 2 | полный разбор всей серии игр фаллаут;20167;576;635150;970;1958;20.08.2020
3;гик-влоги;как я познакомился с марго робби на самом крутом комик-коне в бразилии | гик_влог #5;43919;836;1580133;2 385;1661;17.01.2020
4;гик-влоги;я поиграл в the last of us part 2 и пообщался с разработчиками naughty dog | гик_влог #4;24931;705;574355;1 313;691;28.09.2019
5;гик-влоги;овервотч в лос анджелесе | интервью с shadowburn | гик_влог #3;6969;777;450176;653;741;25.07.2018
6;гик-влоги;экскурсия по студии пиксар/pixar | гик_влог #2;23297;312;317029;1 056;750;15.06.2018
7;гик-влоги;первому игроку приготовиться в реальности на sxsw2018 в остине, техас | гик_влог #1;44465;779;487498;1 818;1156;02.04.2018
8;первому игроку приготовиться;"все пасхалки и отсылки ""первому игроку приготовиться"" (часть 4.)";32494;690;4883906;1 594;1122;21.09.2019
9;первому игроку приготовиться;"секреты и детали ""первому игроку приготовиться"" (часть 3)";33907;813;774774;861;723;31.01.2019
10;первому игроку приготовиться;"все пасхалки ""первому игроку приготовиться"" (часть 2)";69292;928;774774;1 545;629;01.12.2018
11;первому игроку приготовиться;"все пасхалки ""первому игроку приготовиться"" (часть 1)";79559;1476;661187;2 974;972;23.11.2018
12;первому игроку приготовиться;первому игроку приготовиться в реальности на sxsw2018 в остине, техас | гик_влог #1;44465;779;487498;1 818;1156;02.04.2018
13;первому игроку приготовиться;мнение о первому игроку приготовиться от котокраба | стивен спилберг 2018;27119;848;487498;1 267;639;22.03.2018
14;первому игроку приготовиться;"что показали в трейлере №2 ""первому игроку приготовиться/ready player one"" | спилберг 2018";26367;647;44914;1 763;1303;27.01.2018
15;первому игроку приготовиться;"что показали в трейлере ""первому игроку приготовиться/ready player one"" | стивен спилберг 2017";38389;986;789876;1 680;1379;02.09.2017
16;неужели;"неужели ""чужой/прометей"" и ""бегущий по лезвию"" - это одна киновселенная?";40506;2099;225312;1 377;601;18.07.2017
17;неужели;неужели киновселенная dceu - это мультивселенная?;35140;1166;976699;1 595;377;01.08.2017
18;неужели;неужели матрица создана для защиты человечества | нео - злодей (теория);58926;4441;509085;4 060;700;15.08.2017
19;неужели;неужели прометей - это библия?!;17549;993;225312;648;354;24.09.2017
20;неужели;неужели сноук первый джедай?! | звёздные войны эпизод 8;56434;2777;347578;2 302;605;25.10.2017
21;неужели;"неужели локи всех обманул? | теория ""мстители: война бесконечности"" marvel 2018";59983;2941;2281432;4 613;601;19.05.2018
22;неужели;неужели кейбл спасет логана? | дэдпул 2 перезагрузит киновселенную;30347;1086;627873;1 038;444;12.05.2018
23;неужели;неужели живое приквел венома? | новая киновселенная марвел 2018;40331;2440;487978;1 365;446;18.01.2018
24;неужели;неужели парк юрского периода - обман?;26613;1656;225312;1 257;604;11.06.2018
25;неужели;неужели мстители были в 90-х? | теория мстителей прошлого;33030;843;875218;964;841;20.10.2018
26;неужели;неужели росомаха появится в мстителях? | камео логана в киновселенной марвел 2019;39895;2042;754429;1 818;602;09.02.2019
27;неужели;"неужели фильм ""назад в будущее"" предсказал будущее? (теория)";46510;3617;468055;3 758;774;11.09.2019
28;неужели;неужели довод это сиквел начала?! | теория глубокого сна в фильме тенет;38325;1403;791728;1 638;730;06.03.2020
29;неужели;"неужели мистерио выжил? | новые детали фильма ""человек-паук: вдали от дома""";32786;1284;1580205;952;632;20.06.2020
30;неужели;неужели вижн - главный злодей wandavision;20637;1111;214644;1 231;635;27.01.2021
31;видеоигры;"что показали в трейлере ""the last of us part 2/одни из нас 2"" | умрёт ли джоэл?";63510;1791;422357;3 658;972;09.02.2017
32;видеоигры;"что показали в трейлере ""resident evil 7""";6840;525;4047597;558;604;05.07.2016
33;видеоигры;что показали в трейлере игры spider man ps4;12435;428;422357;1 022;611;21.09.2016
34;видеоигры;полная история серии assassins creed за 5 минут | пересказ от cut the crap tv;4797;171;723060;201;418;22.09.2015
35;видеоигры;полная история всех частей metal gear всего за 10 минут | пересказ от cut the crap tv;1717;236;89825;157;683;08.09.2015
36;видеоигры;"что показали в трейлере видеоигры ""battlefront 2"" | star wars ps4, xbox, pc";17629;500;356336;715;610;09.05.2017
37;видеоигры;история жанра интерактивное кино или full motion video | detroit become human;14661;318;554082;663;657;10.06.2017
38;видеоигры;что показали на ea play | обзор выставки перед e3 2017;11717;255;207784;418;374;11.06.2017
39;видеоигры;что показали на выставке e3 2017 | electronic entertainment expo 17;9870;548;200093;628;1369;29.06.2017
40;видеоигры;почему стоит ждать beyond good & evil 2 | чем так хороша эта игра;10029;284;792210;424;485;10.08.2017
41;видеоигры;"что показали в трейлере ""red dead redemption 2"" | rockstar games ps4, xbox one 2018";9718;523;198900;573;1048;12.10.2017
42;видеоигры;the last of us 2 сюжет раскрыт!;24286;580;16232;1 133;627;09.11.2017
43;видеоигры;half-life: alyx неспешный летсплей в шлеме valve index (часть 1) | квартира аликс;6298;179;86439;498;2329;25.03.2020
44;видеоигры;half-life: alyx неспешный летсплей в шлеме valve index (часть 2) | лаборатория рассела;3202;111;61126;356;3274;25.03.2020
45;видеоигры;half-life: alyx все секреты и детали игры;24030;516;385665;1 323;1886;01.05.2020
46;видеоигры;полный разбор вселенной киберпанк 2077 | что показали в трейлере cyberpunk 2077;62740;1187;737938;1 970;2514;28.07.2020
47;видеоигры;ассассины в watch dogs, сюжет miles morales, интерфейс ps5, транспорт киберпанка | игровые новости 1;17810;685;194797;847;933;20.10.2020
48;видеоигры;among us в vr, перенос cyberpunk, обзоры xbox и ps5, бесплатные игры | игровые новости 2 (1/11);19155;547;737938;654;1245;03.11.2020
49;видеоигры;cекретный тизер гта 6 // новый silent hill и metal gear solid // новые игры месяца | игро_новости №3;15868;761;254348;757;1680;29.11.2020
50;видеоигры;cyberpunk 2077 // первые впечатления от начала игры (без спойлеров);27133;2300;415514;2 055;1251;07.12.2020
51;видеоигры;баги и трюки cyberpunk 2077 // открытый мир без спойлеров // физика автомобилей, стрельба, аварии;9527;1163;229629;1 653;2697;09.12.2020
52;стримы;q&a ответы на вопросы | первый стрим cut the crap tv;4519;174;794496;173;4112;
53;стримы;ответы на вопросы, розыгрыш ps4pro и movie awards!;3958;252;90782;0;11206;
