id;Плейлист;Название видео;Лайки;Дизлайки;Просмотры;Комментарии;Продолжительность(с);Дата публикации
1;история жизни гениальных авторов;уолт дисней - тиран, расист и монстр? / история жизни легендарного мультипликатора;22677;227;244873;807;1552;31.01.2021
2;история жизни гениальных авторов;хаяо миядзаки - не добрый дедушка? / анализ творчества великого мастера;26015;266;237990;1 083;1085;18.01.2021
3;история жизни гениальных авторов;стивен кинг и его миры - история жизни короля ужасов биография ft. utopia show;22246;301;237990;949;1594;06.03.2020
4;история жизни гениальных авторов;эдгар аллан по и его миры - трагедия жизни отца хоррора / история ужаса (ft. artifex);9455;47;69538;425;1097;03.12.2020
5;история жизни гениальных авторов;дзюндзи ито и его миры — история жизни японского короля ужаса;29439;295;333035;969;951;29.05.2020
6;история жизни гениальных авторов;gta – как рокстар взорвали индустрию? история гта;19084;281;2400115;1 937;1527;13.03.2020
7;история жизни гениальных авторов;брюс ли - воин, актер, легенда! / история жизни;13158;162;203110;751;1572;18.06.2020
8;история жизни гениальных авторов;тарантино - расист и плагиатор? / биография и факты гении кино;12693;221;237990;565;1680;17.04.2020
9;история жизни гениальных авторов;minecraft – печальная судьба создателя игры обзор майнкрафт;43920;843;458156;2 504;1081;09.04.2020
10;история жизни гениальных авторов;the sims – как трагедия одного архитектора изменила мир? / обзор серии игр от simcity до spore;26625;163;243699;846;1052;31.05.2020
11;история жизни гениальных авторов;алан мур и его миры - история жизни отца хранителей и константина биография;12583;129;69538;700;1292;14.04.2020
12;история жизни гениальных авторов;джордж лукас - история жизни режиссёра подарившего нам звёздные войны гении кино;14359;238;130709;746;1188;23.04.2020
13;история жизни гениальных авторов;как была придумана магия? / история жизни джоан роулинг;15906;338;230340;1 023;879;21.04.2020
14;история жизни гениальных авторов;сатоси тадзири - как его покемоны захватили мир? удивительная история;10810;111;13702;698;1238;20.09.2020
15;история жизни гениальных авторов;стальной алхимик — история борьбы хироми аракава обзор fullmetal alchemist;19693;241;150353;1 736;813;07.06.2020
16;история жизни гениальных авторов;наруто (naruto) — невероятный жизненный путь масаши кишимото / обзор легендарного аниме;34936;644;732192;3 696;917;04.04.2020
17;история жизни гениальных авторов;dark souls - игра, которая изменила всё / анализ творчества мастера тёмного фэнтези;12313;140;114147;747;1775;15.02.2021
18;история жизни гениальных авторов;отец наруто, блич и ванпис - история жизни акиры ториямы;9816;56;109949;1 284;1113;24.02.2021
19;история жизни гениальных авторов;джеки чан - цена улыбки / боль, страдание и история о тяжёлой жизни легендарного актёра;15140;103;130709;929;1300;28.02.2021
20;история жизни гениальных авторов;толкин и его властелин колец - страшная тайна и главный секрет / обзор и анализ творчества писателя;15110;252;157563;1 209;1448;07.03.2021
21;анализ мультсериалов;по ту сторону изгороди - обзор самого атмосферного и жуткого сериала / шедевр анимации;21070;271;209835;936;756;14.11.2020
22;анализ мультсериалов;время приключений - обзор самого сумасшедшего сериала! / шедевр анимации;14012;162;129404;591;780;08.10.2020
23;анализ мультсериалов;гравити фолз — обзор и анализ фантастического сериала / шедевр анимации;21550;347;364207;768;854;30.07.2020
24;анализ мультсериалов;о чём на самом деле рик и морти? / искусство креативного мышления обзор и анализ сериала;15906;308;1004716;434;827;08.05.2020
25;анализ мультсериалов;аватар: легенда об аанге — больше, чем просто мультфильм! обзор и анализ сериала;33885;322;2435424;1 992;954;13.12.2019
26;анализ мультсериалов;рик и морти и конь боджек - как юмор заставляет плакать? анализ и обзор сериала;17511;456;127004;553;871;26.11.2018
27;анализ мультсериалов;конь боджек - боль, депрессия и алкоголь!;12632;137;244874;593;778;20.01.2021
